City ID,City,Country,Lng,Lat,Cloudiness,Date,Humidity,Max Temp,Wind Speed
1507873,Chik,RU,82.43,54.99,0.0,"Monday, 01. March 2021 10:26PM",84.0,-1.9299999999999926,3.0
3471896,Aquidauana,BR,-55.79,-20.47,0.0,"Monday, 01. March 2021 10:26PM",92.0,73.184,2.07
1282256,Hithadhoo,MV,73.08,-0.6,36.0,"Monday, 01. March 2021 10:26PM",70.0,82.47200000000004,4.5
4030556,Rikitea,PF,-134.97,-23.12,69.0,"Monday, 01. March 2021 10:26PM",63.0,79.03399999999999,2.45
5880054,Barrow,US,-156.79,71.29,75.0,"Monday, 01. March 2021 10:26PM",69.0,-21.72999999999999,5.66
2125693,Evensk,RU,159.23,61.95,100.0,"Monday, 01. March 2021 10:26PM",86.0,5.288000000000043,0.86
6201424,Mataura,NZ,168.86,-46.19,97.0,"Monday, 01. March 2021 10:26PM",82.0,66.27200000000005,4.02
3366880,Hermanus,ZA,19.23,-34.42,0.0,"Monday, 01. March 2021 10:26PM",87.0,64.27400000000002,3.13
1337612,Dhidhdhoo,MV,73.1,6.88,0.0,"Monday, 01. March 2021 10:26PM",63.0,83.44399999999997,4.31
2460954,Araouane,ML,-3.53,18.9,28.0,"Monday, 01. March 2021 10:26PM",13.0,70.79000000000002,4.79
2450173,Taoudenni,ML,-3.98,22.68,0.0,"Monday, 01. March 2021 10:26PM",29.0,62.40199999999997,3.91
3576994,Cockburn Town,TC,-71.14,21.46,4.0,"Monday, 01. March 2021 10:23PM",72.0,76.24399999999997,8.06
3874787,Punta Arenas,CL,-70.92,-53.15,0.0,"Monday, 01. March 2021 10:26PM",87.0,37.66999999999996,3.6
5106841,Albany,US,-73.97,42.6,68.0,"Monday, 01. March 2021 10:17PM",39.0,20.26400000000003,4.47
2037485,Erenhot,CN,111.98,43.65,0.0,"Monday, 01. March 2021 10:26PM",79.0,33.458000000000006,8.99
6185377,Yellowknife,CA,-114.35,62.46,90.0,"Monday, 01. March 2021 10:22PM",71.0,-6.736000000000018,4.12
4021858,Guerrero Negro,MX,-114.06,27.98,5.0,"Monday, 01. March 2021 10:26PM",23.0,59.73800000000004,1.41
1795632,Shenjiamen,CN,122.3,29.96,63.0,"Monday, 01. March 2021 10:26PM",74.0,46.00399999999995,9.47
4032243,Vaini,TO,-175.2,-21.2,75.0,"Monday, 01. March 2021 10:26PM",83.0,79.06999999999996,4.12
1861416,Ishigaki,JP,124.16,24.34,75.0,"Monday, 01. March 2021 10:26PM",94.0,62.86999999999996,8.75
2155415,New Norfolk,AU,147.06,-42.78,97.0,"Monday, 01. March 2021 10:26PM",59.0,61.26799999999999,0.45
1214488,Meulaboh,ID,96.13,4.14,11.0,"Monday, 01. March 2021 10:26PM",68.0,86.25199999999998,0.83
5557293,Sitka,US,-135.33,57.05,90.0,"Monday, 01. March 2021 10:24PM",87.0,37.66999999999996,5.14
1608033,Pak Phanang,TH,100.2,8.35,40.0,"Monday, 01. March 2021 10:26PM",55.0,93.46999999999997,3.6
